Year,Flow,Partner,PartnerDesc,Commodity,CommodityDesc,TradeValue,NetWeight
2023,,212,,85,,2775,0
2023,,699,,85,,14807696,0
2023,,76,,85,,9761458,0
2023,,368,,85,,141512,0
2023,,795,,85,,124693,0
2023,,490,,85,,402956,0
2023,,498,,85,,1574699,0
2023,,292,,85,,64646,0
2023,,31,,85,,3066128,0
2023,,807,,85,,217759,0
2023,,674,,85,,53,0
2023,,818,,85,,254058,0
2023,,626,,85,,8004,0
2023,,858,,85,,221989,0
2023,,392,,85,,4196944,0
2023,,690,,85,,14077,0
2023,,246,,85,,84112831,0
2023,,784,,85,,27801257,0
2023,,191,,85,,4720576,0
2023,,516,,85,,29427,0
2023,,124,,85,,10764068,0
2023,,478,,85,,70942,0
2023,,604,,85,,1889180,0
2023,,757,,85,,21385964,0
2023,,834,,85,,211218,0
2023,,20,,85,,8207,0
2023,,422,,85,,11828,0
2023,,178,,85,,17980,0
2023,,44,,85,,1875,0
2023,,688,,85,,5284261,0
2023,,434,,85,,149567,0
2023,,226,,85,,88217,0
2023,,28,,85,,21171,0
2023,,84,,85,,3175,0
2023,,703,,85,,65596166,0
2023,,188,,85,,1327869,0
2023,,662,,85,,1379,0
2023,,470,,85,,919426,0
2023,,586,,85,,596226,0
2023,,234,,85,,249148,0
2023,,480,,85,,176389,0
2023,,626,,90,,3264,0
2023,,442,,90,,137499,0
2023,,222,,90,,3799,0
2023,,226,,90,,23419,0
2023,,191,,90,,1876374,0
2023,,703,,90,,8108692,0
2023,,554,,90,,2656488,0
2023,,104,,90,,9342,0
2023,,586,,90,,1411263,0
2023,,807,,90,,48317,0
2023,,48,,90,,51299,0
2023,,72,,90,,1860,0
2023,,246,,90,,9152861,0
2023,,214,,90,,71754,0
2023,,699,,90,,5645989,0
2023,,180,,90,,57968,0
2023,,360,,90,,622435,0
2023,,120,,90,,9218,0
2023,,579,,90,,12322663,0
2023,,826,,90,,57599555,0
2023,,784,,90,,7712423,0
2023,,688,,90,,1276903,0
2023,,156,,90,,14943929,0
2023,,524,,90,,112925,0
2023,,643,,90,,144571121,0
2023,,196,,90,,909722,0
2023,,662,,90,,3739,0
2023,,84,,90,,2555,0
2023,,124,,90,,7000868,0
2023,,724,,90,,20909324,0
2023,,558,,90,,313,0
2023,,682,,90,,1705797,0
2023,,818,,90,,414759,0
2023,,887,,90,,50021,0
2023,,344,,90,,6302544,0
2023,,562,,90,,33,0
2023,,364,,90,,738103,0
2023,,410,,90,,13336189,0
2023,,458,,90,,1074889,0
2023,,404,,90,,71808,0
2023,,702,,90,,5981209,0
2023,,512,,90,,287488,0
2023,,716,,90,,1023,0
2023,,51,,90,,6274164,0
2023,,706,,90,,5073,0
2023,,604,,90,,831576,0
2023,,414,,90,,487366,0
2023,,50,,90,,286391,0
2023,,704,,90,,763635,0
2023,,242,,90,,5032,0
2023,,398,,90,,33386983,0
2023,,76,,90,,1279707,0
2023,,498,,90,,645531,0
2023,,646,,90,,47498,0
2023,,300,,90,,9332101,0
2023,,56,,90,,7560741,0
2023,,462,,90,,13412,0
2023,,728,,90,,1219,0
2023,,674,,90,,32,0
2023,,8,,90,,93264,0
2023,,454,,90,,2071,0
2023,,600,,90,,247187,0
2023,,508,,90,,32949,0
2023,,434,,90,,135189,0
2023,,31,,90,,576517,0
2023,,288,,90,,89541,0
2023,,480,,90,,34551,0
2023,,788,,90,,125379,0
2023,,634,,90,,193331,0
2023,,400,,90,,555183,0
2023,,764,,90,,563723,0
2023,,372,,90,,3039347,0
2023,,768,,90,,22173,0
2023,,422,,90,,245509,0
2023,,608,,90,,899208,0
2023,,795,,90,,347572,0
2023,,144,,90,,179081,0
2023,,320,,90,,1179234,0
2023,,152,,90,,5250646,0
2023,,792,,90,,10193942,0
2023,,270,,90,,2834,0
2023,,276,,90,,134303544,0
2023,,148,,90,,1020363,0
2023,,478,,90,,314,0
2023,,470,,90,,90179,0
2023,,376,,90,,8905952,0
2023,,340,,90,,8695,0
2023,,251,,90,,42770250,0
2023,,368,,90,,98197,0
2023,,566,,90,,183986,0
2023,,108,,90,,17446,0
2023,,188,,90,,71967,0
2023,,780,,90,,3147,0
2023,,504,,90,,4111722,0
2023,,70,,90,,76090,0
2023,,328,,90,,11240,0
2023,,762,,90,,84995,0
2023,,496,,90,,715806,0
2023,,894,,90,,15317,0
2023,,12,,90,,227978,0
2023,,752,,90,,19830910,0
2023,,40,,90,,8111197,0
2023,,710,,90,,4568026,0
2023,,204,,90,,8929,0
2023,,44,,90,,36387,0
2023,,484,,90,,2452185,0
2023,,428,,90,,44583598,0
2023,,620,,90,,6880996,0
2023,,757,,90,,29129637,0
2023,,642,,90,,3591242,0
2023,,100,,90,,4105939,0
2023,,231,,90,,1782,0
2023,,28,,90,,3853,0
2023,,516,,90,,2025,0
2023,,534,,90,,9154,0
2023,,32,,90,,464715,0
2023,,705,,90,,4394640,0
2023,,800,,90,,10739,0
2023,,499,,90,,5977,0
2023,,234,,90,,332,0
2023,,860,,90,,12252944,0
2023,,352,,90,,305296,0
2023,,854,,90,,22319,0
2023,,388,,90,,1200,0
2023,,68,,90,,75936,0
2023,,116,,90,,92,0
2023,,686,,90,,87788,0
2023,,392,,90,,23967789,0
2023,,170,,90,,1800158,0
2023,,834,,90,,22821,0
2023,,528,,90,,73168768,0
2023,,858,,90,,99338,0
2023,,490,,90,,7585959,0
2023,,136,,90,,13139,0
2023,,348,,90,,8150154,0
2023,,112,,90,,80698534,0
2023,,862,,90,,19361,0
2023,,540,,90,,73279,0
2023,,36,,90,,11508541,0
2023,,531,,90,,1273,0
2023,,24,,90,,10925,0
2023,,218,,90,,88560,0
2023,,208,,90,,8675323,0
2023,,591,,90,,81861,0
2023,,384,,90,,3882,0
2023,,275,,90,,119540,0
2023,,203,,90,,24337380,0
2023,,380,,90,,39286197,0
2023,,533,,90,,7310,0
2023,,616,,90,,73848012,0
2023,,466,,27,,46445,0
2023,,212,,27,,64548,0
2023,,499,,27,,47427,0
2023,,458,,27,,3862780,0
2023,,704,,27,,610918,0
2023,,68,,27,,27170,0
2023,,762,,27,,2327953,0
2023,,384,,27,,209181,0
2023,,192,,27,,325675,0
2023,,688,,27,,3686653,0
2023,,120,,27,,1108850,0
2023,,96,,27,,192571,0
2023,,670,,27,,162416,0
2023,,826,,27,,74108867,0
2023,,504,,27,,85365785,0
2023,,682,,27,,15783436,0
2023,,352,,27,,1036233,0
2023,,496,,27,,4376620,0
2023,,524,,27,,30926,0
2023,,591,,27,,53692,0
2023,,478,,27,,111428,0
2023,,226,,27,,144,0
2023,,70,,27,,1065246,0
2023,,48,,27,,52291,0
2023,,196,,27,,3095718,0
2023,,292,,27,,145422638,0
2023,,768,,27,,32809,0
